SMILES,SMILES_state,NLL,canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine,fingerprint,nearest_active_sim,nearest_active_idx,cluster_morgan,cluster_avalon,cluster_maccs,top_functional_group
CCOc1ccc(NC(=O)c2cnc3ccccc3c2)cc1OCC,1,27.05,CCOc1ccc(NC(=O)c2cnc3ccccc3c2)cc1OCC,336.39100000000013,4.284500000000003,1,4,60.45,0.7295232357776213,1.8363377746381797,O=C(Nc1ccccc1)c1cnc2ccccc2c1,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bc2880>,0.47619047619047616,2004,185,25,0,ether
O=C(c1cccc(OCc2cscn2)c1)N1CCN(c2ccccc2)CC1,1,25.63,O=C(c1cccc(OCc2cscn2)c1)N1CCN(c2ccccc2)CC1,379.4850000000002,3.6845000000000026,0,5,45.67,0.6783529747740356,2.0550132695303294,O=C(c1cccc(OCc2cscn2)c1)N1CCN(c2ccccc2)CC1,False,False,True,True,False,False,False,True,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bda650>,0.47435897435897434,1259,2098,10,0,NH0
CC(C)N1C(=O)c2ccc(NC(=O)Nc3ccc(Oc4ccccc4)cc3)cc2C1=O,1,30.52,CC(C)N1C(=O)c2ccc(NC(=O)Nc3ccc(Oc4ccccc4)cc3)cc2C1=O,415.4490000000001,5.1273000000000035,2,4,87.74000000000001,0.5658466100963496,2.05165737493107,O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc2c(c1)C(=O)NC2=O,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4d965e0>,0.47368421052631576,3162,4101,40,0,amide
Cc1cccc(C(=O)NCC2CCCO2)c1C,1,24.69,Cc1cccc(C(=O)NCC2CCCO2)c1C,233.31099999999995,2.2122400000000004,1,2,38.33,0.8689275499866113,2.2622350373752997,O=C(NCC1CCCO1)c1ccccc1,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bd5310>,0.46774193548387094,3269,9,9,0,C_O
CN(C)C1(CNC(=O)c2ccnc(N3CCOCC3)c2)CCCCCC1,1,28.13,CN(C)C1(CNC(=O)c2ccnc(N3CCOCC3)c2)CCCCCC1,360.50200000000024,2.302599999999999,1,5,57.7,0.8167966973352514,2.470206104848275,O=C(NCC1CCCCCC1)c1ccnc(N2CCOCC2)c1,False,False,True,True,False,False,False,True,False,False,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4c143c0>,0.4666666666666667,703,304,23,0,NH0
Cc1ccc(Br)cc1NC(=O)Nc1ccc2c(c1)OCCO2,1,26.62,Cc1ccc(Br)cc1NC(=O)Nc1ccc2c(c1)OCCO2,363.21100000000024,4.172720000000002,2,3,59.59,0.8419786815117332,1.929343137406537,O=C(Nc1ccccc1)Nc1ccc2c(c1)OCCO2,False,False,True,True,False,False,True,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bdd770>,0.4642857142857143,2209,102,12,0,ether
OC(COc1ccccc1Cl)CN1CCC(Cc2ccccc2)CC1,1,25.24,OC(COc1ccccc1Cl)CN1CCC(Cc2ccccc2)CC1,359.89700000000005,4.034400000000003,1,3,32.7,0.8095657449338718,2.3627136327019027,c1ccc(CC2CCN(CCCOc3ccccc3)CC2)cc1,True,False,False,False,False,True,False,True,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4c00dd0>,0.46296296296296297,3766,890,113,0,benzene
CCOC(=O)Nc1ccc(C)c(NC(=O)CC(C)N)c1,1,28.41,CCOC(=O)Nc1ccc(C)c(NC(=O)CC(C)N)c1,279.34,2.2392200000000004,3,4,93.45,0.7701609818118613,2.3680009175928483,c1ccccc1,False,True,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bee650>,0.4626865671641791,798,115,9,0,C_O
Cc1cc(NN)ccc1C(=O)N1CCC(CO)CC1,1,26.51,Cc1cc(NN)ccc1C(=O)N1CCC(CO)CC1,263.341,1.12512,3,4,78.59,0.5639514197696078,2.12793892901073,O=C(c1ccccc1)N1CCCCC1,True,True,True,True,False,False,False,True,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bdf1b0>,0.46153846153846156,3298,1955,5,0,C_O
CC(C)(C)C(N)C(=O)Nc1cccc2ccccc12,1,23.26,CC(C)(C)C(N)C(=O)Nc1cccc2ccccc12,256.34900000000005,3.1517000000000017,2,2,55.120000000000005,0.8668533130280633,2.2960943221361845,c1ccc2ccccc2c1,False,True,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bd9690>,0.46153846153846156,1034,63,289,4,benzene
